market,symbol,earliest_date,available_intervals
spot,ADATRY,2021-02-26,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ADATUSD,2018-12-19,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ADAUPUSDT,2020-07-16,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ADAUSDC,2019-03-27,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ADAUSDT,2018-04-17,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ADXBNB,2017-11-29,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ADXBTC,2017-11-29,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ADXBUSD,2021-07-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ADXETH,2017-11-29,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ADXUSDT,2021-10-29,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AEBNB,2018-02-07,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AEBTC,2018-02-07,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AEETH,2018-02-07,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AERGOBTC,2020-10-21,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AERGOBUSD,2020-10-21,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AERGOUSDT,2023-05-05,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AEURUSDT,2023-12-04,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AEVOBNB,2024-03-13,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AEVOBTC,2024-03-13,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AEVOFDUSD,2024-03-13,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AEVOTRY,2024-03-13,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AEVOUSDT,2024-03-13,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AGIBNB,2018-06-05,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AGIBTC,2018-06-05,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AGIETH,2018-06-05,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AGIXBTC,2021-06-02,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AGIXBUSD,2022-10-14,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AGIXFDUSD,2024-03-07,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AGIXTRY,2023-03-24,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AGIXUSDT,2023-02-17,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AGLDBNB,2021-10-05,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AGLDBTC,2021-10-05,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AGLDBUSD,2021-10-05,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AGLDUSDT,2021-10-05,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AIBNB,2024-01-04,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AIBTC,2024-01-04,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AIFDUSD,2024-01-04,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AIONBNB,2017-12-21,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AIONBTC,2017-12-21,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AIONBUSD,2020-02-19,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AIONETH,2017-12-21,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AIONUSDT,2020-02-19,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AITRY,2024-01-04,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AITUSD,2024-01-04,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AIUSDT,2024-01-04,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AIXBTTRY,2025-01-21,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AIXBTUSDC,2025-01-10,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AIXBTUSDT,2025-01-10,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AKROBTC,2020-11-02,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AKROBUSD,2022-05-27,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AKROUSDT,2020-11-02,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALCXBTC,2021-11-30,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALCXBUSD,2021-11-30,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALCXUSDT,2021-11-30,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALGOBIDR,2021-09-17,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALGOBNB,2019-06-22,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALGOBTC,2019-06-22,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALGOBUSD,2020-02-27,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALGOETH,2022-05-13,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALGOFDUSD,2023-10-26,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALGOPAX,2019-06-22,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALGORUB,2021-11-05,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALGOTRY,2022-05-20,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALGOTUSD,2019-06-22,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALGOUSDC,2019-06-22,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALGOUSDT,2019-06-22,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALICEBIDR,2021-09-30,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALICEBNB,2022-01-07,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALICEBTC,2021-03-15,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALICEBUSD,2021-03-15,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALICETRY,2021-12-10,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALICEUSDT,2021-03-15,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALPACABNB,2021-08-11,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALPACABTC,2021-08-11,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALPACABUSD,2021-08-11,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALPACAUSDT,2021-08-11,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALPHABNB,2020-10-10,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALPHABTC,2020-10-10,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALPHABUSD,2020-10-10,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALPHAUSDT,2020-10-10,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALPINEBTC,2022-02-21,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALPINEBUSD,2022-03-18,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALPINEEUR,2022-02-21,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALPINETRY,2022-02-21,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALPINEUSDT,2022-02-21,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALTBNB,2024-01-25,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALTBTC,2024-01-25,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALTFDUSD,2024-01-25,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALTTRY,2024-01-25,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALTUSDC,2024-02-02,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ALTUSDT,2024-01-25,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AMBBNB,2017-11-10,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AMBBTC,2017-11-10,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AMBBUSD,2022-09-09,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AMBETH,2017-11-10,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AMBUSDT,2023-03-03,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AMPBNB,2021-11-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AMPBTC,2021-11-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AMPBUSD,2021-11-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AMPTRY,2023-08-02,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,AMPUSDT,2021-11-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANCBNB,2022-03-11,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANCBTC,2022-01-25,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANCBUSD,2022-01-25,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANCUSDT,2022-01-25,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANIMEBNB,2025-01-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANIMEFDUSD,2025-01-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANIMETRY,2025-01-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANIMEUSDC,2025-01-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANIMEUSDT,2025-01-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANKRBNB,2019-07-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANKRBTC,2019-07-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANKRBUSD,2021-11-12,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANKRPAX,2019-07-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANKRTRY,2022-08-26,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANKRTUSD,2019-07-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANKRUSDC,2019-07-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANKRUSDT,2019-07-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANTBNB,2020-08-13,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANTBTC,2020-08-13,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANTBUSD,2020-08-13,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANTUSDT,2020-08-13,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANYBTC,2021-12-04,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANYBUSD,2021-12-04,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,ANYUSDT,2021-12-04,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,APEAUD,2022-04-01,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,APEBNB,2022-03-25,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,APEBRL,2022-04-29,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,APEBTC,2022-03-17,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,APEBUSD,2022-03-17,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,APEETH,2022-04-08,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,APEEUR,2022-03-19,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,APEFDUSD,2024-11-22,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,APEGBP,2022-03-19,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,APETRY,2022-03-19,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,APEUSDC,2024-11-28,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,APEUSDT,2022-03-17,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,API3BNB,2022-02-25,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,API3BTC,2022-01-21,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,API3BUSD,2022-01-21,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,API3TRY,2022-03-04,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,API3USDC,2025-04-03,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,API3USDT,2022-01-21,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
spot,APPCBNB,2018-01-05,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h
