market,symbol,earliest_date,available_intervals,base_symbol
spot,SUSHIUSDT,2020-09-01,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",SUSHI
spot,EGLDUSDT,2020-09-03,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",EGLD
spot,DIAUSDT,2020-09-04,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",DIA
spot,FIOUSDT,2020-09-04,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",FIO
spot,KSMUSDT,2020-09-04,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",KSM
spot,RUNEUSDT,2020-09-04,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",RUNE
spot,UMAUSDT,2020-09-09,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",UMA
spot,BELUSDT,2020-09-15,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",BEL
spot,UNIUSDT,2020-09-17,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",UNI
spot,OXTUSDT,2020-09-21,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",OXT
spot,SUNUSDT,2020-09-21,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",SUN
spot,AVAXUSDT,2020-09-22,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",AVAX
spot,FLMUSDT,2020-09-28,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",FLM
spot,XVSUSDT,2020-10-06,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",XVS
spot,ALPHAUSDT,2020-10-10,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ALPHA
spot,NEARUSDT,2020-10-14,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",NEAR
spot,AAVEUSDT,2020-10-15,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",AAVE
spot,FILUSDT,2020-10-15,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",FIL
spot,INJUSDT,2020-10-21,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",INJ
spot,CTKUSDT,2020-10-27,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",CTK
spot,AXSUSDT,2020-11-04,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",AXS
spot,STRAXUSDT,2020-11-18,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",STRAX
spot,ROSEUSDT,2020-11-19,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ROSE
spot,AVAUSDT,2020-11-24,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",AVA
spot,SKLUSDT,2020-12-01,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",SKL
spot,GRTUSDT,2020-12-17,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",GRT
spot,1INCHUSDT,2020-12-25,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",1INCH
spot,CELOUSDT,2021-01-05,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",CELO
spot,RIFUSDT,2021-01-07,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",RIF
spot,TRUUSDT,2021-01-19,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",TRU
spot,CKBUSDT,2021-01-26,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",CKB
spot,TWTUSDT,2021-01-27,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",TWT
spot,SFPUSDT,2021-02-08,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",SFP
spot,CAKEUSDT,2021-02-19,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",CAKE
spot,BADGERUSDT,2021-03-02,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",BADGER
spot,OMUSDT,2021-03-08,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",OM
spot,DEGOUSDT,2021-03-10,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",DEGO
spot,ALICEUSDT,2021-03-15,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ALICE
spot,PERPUSDT,2021-03-19,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",PERP
spot,SUPERUSDT,2021-03-25,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",SUPER
spot,CFXUSDT,2021-03-29,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",CFX
spot,TLMUSDT,2021-04-13,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",TLM
spot,FORTHUSDT,2021-04-23,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",FORTH
spot,BAKEUSDT,2021-04-30,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",BAKE
spot,SLPUSDT,2021-04-30,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",SLP
spot,ICPUSDT,2021-05-11,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ICP
spot,ARUSDT,2021-05-14,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",AR
spot,MASKUSDT,2021-05-25,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",MASK
spot,LPTUSDT,2021-05-28,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",LPT
spot,XVGUSDT,2021-06-06,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",XVG
spot,ATAUSDT,2021-06-07,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ATA
spot,GTCUSDT,2021-06-10,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",GTC
spot,PHAUSDT,2021-06-25,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",PHA
spot,MLNUSDT,2021-07-05,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",MLN
spot,C98USDT,2021-07-23,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",C98
spot,DEXEUSDT,2021-07-23,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",DEXE
spot,QNTUSDT,2021-07-29,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",QNT
spot,FLOWUSDT,2021-07-30,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",FLOW
spot,MINAUSDT,2021-08-10,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",MINA
spot,RAYUSDT,2021-08-10,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",RAY
spot,ALPACAUSDT,2021-08-11,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ALPACA
spot,QUICKUSDT,2021-08-13,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",QUICK
spot,MBOXUSDT,2021-08-19,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",MBOX
spot,GHSTUSDT,2021-08-20,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",GHST
spot,WAXPUSDT,2021-08-23,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",WAXP
spot,DYDXUSDT,2021-09-09,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",DYDX
spot,IDEXUSDT,2021-09-09,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",IDEX
spot,VIDTUSDT,2021-09-09,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",VIDT
spot,GALAUSDT,2021-09-13,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",GALA
